defense,defense_key,label,label_name,node_idx,abs_l2,rel_l2,cos_sim
Adversarial Training,adv_train,0,and,58096,2.6155710220336914,1.3176475891401547,-0.10005570948123932
Adversarial Training,adv_train,0,and,9402,1.1502940654754639,0.8136356016832064,0.7002642750740051
Adversarial Training,adv_train,0,and,2584,4.855420112609863,0.905139241902045,0.6360581517219543
Adversarial Training,adv_train,0,and,22704,1.360460877418518,0.7608147689359476,0.6922842264175415
Adversarial Training,adv_train,0,and,20300,1.490820288658142,0.7734284791720157,0.6831506490707397
Adversarial Training,adv_train,0,and,18560,5.171849727630615,2.155024423454434,-0.3843125104904175
Adversarial Training,adv_train,0,and,11673,2.514451503753662,1.7695751132965516,0.11654311418533325
Adversarial Training,adv_train,0,and,8680,1.4143760204315186,0.77921743314995,0.6772408485412598
Adversarial Training,adv_train,0,and,60638,4.150948524475098,1.0743275744661964,0.02375655807554722
Adversarial Training,adv_train,0,and,50106,5.097520351409912,0.9021087774345115,0.4719880521297455
Adversarial Training,adv_train,0,and,7388,1.006439208984375,0.7373780451514379,0.6938730478286743
Adversarial Training,adv_train,0,and,54459,3.460994243621826,1.1739625994308809,-0.19305174052715302
Adversarial Training,adv_train,0,and,39833,2.6326944828033447,1.3076311054104508,0.44285526871681213
Adversarial Training,adv_train,0,and,3148,3.590526819229126,2.550324344770316,0.30582094192504883
Adversarial Training,adv_train,0,and,2981,1.3218482732772827,0.8429779412032353,0.5412264466285706
Adversarial Training,adv_train,0,and,7954,5.005615711212158,2.0296110376879843,-0.28919291496276855
Adversarial Training,adv_train,0,and,18187,1.2959293127059937,0.8298186161823357,0.5692124962806702
Adversarial Training,adv_train,0,and,19316,0.9806942939758301,0.6799066705812541,0.7627599239349365
Adversarial Training,adv_train,0,and,46949,0.653436005115509,0.6718361511252793,0.7410610914230347
Adversarial Training,adv_train,0,and,55290,1.1107898950576782,0.7745238916778349,0.6487288475036621
Adversarial Training,adv_train,1,input,2231,5.595803260803223,0.8216448919259869,0.5808514952659607
Adversarial Training,adv_train,1,input,40151,4.705819129943848,0.684795210996922,0.8328335881233215
Adversarial Training,adv_train,1,input,25991,5.64133358001709,0.8277964776009477,0.5969406962394714
Adversarial Training,adv_train,1,input,50331,5.828990459442139,0.8555475492773971,0.5225695967674255
Adversarial Training,adv_train,1,input,50161,5.310306549072266,0.7794124335852101,0.6536965370178223
Adversarial Training,adv_train,1,input,50294,4.234162330627441,0.6214629486664403,0.8721990585327148
Adversarial Training,adv_train,1,input,39726,5.705002784729004,0.8375147253135568,0.5499433279037476
Adversarial Training,adv_train,1,input,34587,5.404942512512207,0.7539287307455422,0.7210206985473633
Adversarial Training,adv_train,1,input,29135,5.334125518798828,0.7831081461706383,0.6404637694358826
Adversarial Training,adv_train,1,input,34661,5.286913871765137,0.7573333675851306,0.7594701647758484
Adversarial Training,adv_train,1,input,44415,5.022067070007324,0.7353463110861623,0.7863785624504089
Adversarial Training,adv_train,1,input,30449,5.2899489402771,0.7553746887219891,0.7427710294723511
Adversarial Training,adv_train,1,input,50571,7.238537311553955,1.062425667795254,0.23466473817825317
Adversarial Training,adv_train,1,input,52664,5.854822635650635,0.8598354623572518,0.5140444040298462
Adversarial Training,adv_train,1,input,2178,5.421677589416504,0.7960776119877812,0.6072258949279785
Adversarial Training,adv_train,1,input,50444,4.998937129974365,0.7337116450449503,0.7063301205635071
Adversarial Training,adv_train,1,input,50562,5.070119857788086,0.7441593852275239,0.7839140892028809
Adversarial Training,adv_train,1,input,25883,4.88076639175415,0.7161925757056424,0.825958251953125
Adversarial Training,adv_train,1,input,50286,5.574285507202148,0.8181575569166014,0.5817439556121826
Adversarial Training,adv_train,1,input,34594,5.109123706817627,0.7360571660485871,0.7133001685142517
Adversarial Training,adv_train,2,nand,37894,0.5931532382965088,0.5200028505957836,0.8550158739089966
Adversarial Training,adv_train,2,nand,33727,0.5505826473236084,0.463102755777389,0.9462393522262573
Adversarial Training,adv_train,2,nand,30792,0.6154026985168457,0.4838116096687255,0.9394230842590332
Adversarial Training,adv_train,2,nand,31946,2.690939426422119,0.5927903484317951,0.8181445002555847
Adversarial Training,adv_train,2,nand,37873,0.8287211060523987,0.656262520713947,0.7648321390151978
Adversarial Training,adv_train,2,nand,30064,1.5532335042953491,0.9313928489741611,0.4179900586605072
Adversarial Training,adv_train,2,nand,30015,2.3181533813476562,0.9307224801400423,0.39474552869796753
Adversarial Training,adv_train,2,nand,38106,0.9727703332901001,0.31506774160851186,0.9697068929672241
Adversarial Training,adv_train,2,nand,30034,2.034519910812378,0.7951706189294522,0.8068283796310425
Adversarial Training,adv_train,2,nand,37998,0.25466489791870117,0.22305291929616583,0.9908222556114197
Adversarial Training,adv_train,2,nand,37913,3.6483089923858643,1.2615634071817048,0.23713010549545288
Adversarial Training,adv_train,2,nand,33666,2.1651408672332764,1.9406763042939283,0.02149365097284317
Adversarial Training,adv_train,2,nand,29588,3.7296180725097656,0.5989460510751474,0.8402495384216309
Adversarial Training,adv_train,2,nand,38520,0.3628009855747223,0.3378496085826325,0.942365288734436
Adversarial Training,adv_train,2,nand,30163,4.183132648468018,0.8310209313466215,0.6373011469841003
Adversarial Training,adv_train,2,nand,38099,1.589476466178894,0.6272242252722803,0.7850149273872375
Adversarial Training,adv_train,2,nand,29772,5.562514305114746,0.6234023003042616,0.9297863841056824
Adversarial Training,adv_train,2,nand,33803,0.4891499876976013,0.48763892327811614,0.8877049684524536
Adversarial Training,adv_train,2,nand,38012,0.8193758130073547,0.5371697322279245,0.9394620060920715
Adversarial Training,adv_train,2,nand,31828,2.3936545848846436,1.7783194431385037,-0.11870505660772324
Adversarial Training,adv_train,3,nor,29034,1.502126693725586,0.39777348425407694,0.9462703466415405
Adversarial Training,adv_train,3,nor,28916,4.9425225257873535,1.2970877681472317,-0.24099212884902954
Adversarial Training,adv_train,3,nor,35645,2.5523555278778076,0.8061560543013656,0.5997587442398071
Adversarial Training,adv_train,3,nor,35967,2.296613931655884,0.615383183698391,0.8276429772377014
Adversarial Training,adv_train,3,nor,30914,0.8456526398658752,0.6298945465417675,0.7780808210372925
Adversarial Training,adv_train,3,nor,35669,5.031485080718994,0.8439762138479923,0.6134365797042847
Adversarial Training,adv_train,3,nor,32558,3.0144662857055664,0.8566198918763824,0.637363076210022
Adversarial Training,adv_train,3,nor,36433,1.5357439517974854,0.5067506532850159,0.8879958391189575
Adversarial Training,adv_train,3,nor,35906,3.5888569355010986,1.1561509445757123,0.2467355728149414
Adversarial Training,adv_train,3,nor,36811,1.5207009315490723,0.4709436953481333,0.9423302412033081
Adversarial Training,adv_train,3,nor,36354,4.271195888519287,0.7145378354957075,0.7354530692100525
Adversarial Training,adv_train,3,nor,35318,3.026216506958008,0.8480851819675701,0.6255186200141907
Adversarial Training,adv_train,3,nor,36382,1.8867084980010986,0.6006741467258089,0.8468335866928101
Adversarial Training,adv_train,3,nor,36307,2.5594258308410645,0.8464279837503511,0.6314254999160767
Adversarial Training,adv_train,3,nor,35553,4.585808753967285,0.767859399982564,0.6937374472618103
Adversarial Training,adv_train,3,nor,35843,5.980981349945068,0.9995945987609757,0.23432505130767822
Adversarial Training,adv_train,3,nor,29043,0.9309020042419434,0.24649059700252188,0.9861858487129211
Adversarial Training,adv_train,3,nor,35362,4.150356292724609,0.6973144667011366,0.8028696775436401
Adversarial Training,adv_train,3,nor,40049,3.9888439178466797,0.7470371315227567,0.7113193273544312
Adversarial Training,adv_train,3,nor,35728,2.4175820350646973,0.7817781010139256,0.6726013422012329
Adversarial Training,adv_train,4,not,13928,2.377664566040039,0.924839161630964,0.4461553990840912
Adversarial Training,adv_train,4,not,51302,3.6469106674194336,0.9630319165031533,0.2695765495300293
Adversarial Training,adv_train,4,not,43165,1.0269932746887207,0.7759389655655555,0.6837885975837708
Adversarial Training,adv_train,4,not,22622,2.698930025100708,2.080814028551914,-0.4732000231742859
Adversarial Training,adv_train,4,not,18480,0.7183176279067993,0.6161824294268439,0.8705754280090332
Adversarial Training,adv_train,4,not,31043,1.3218460083007812,0.9695445990134709,0.39708930253982544
Adversarial Training,adv_train,4,not,5101,1.391574740409851,0.9217553994691966,0.49022144079208374
Adversarial Training,adv_train,4,not,19265,2.4478466510772705,1.2539481788469091,0.1752203404903412
Adversarial Training,adv_train,4,not,2870,1.2089197635650635,0.8394690597791431,0.5798669457435608
Adversarial Training,adv_train,4,not,28020,1.1084628105163574,0.761590849707843,0.6598444581031799
Adversarial Training,adv_train,4,not,45503,3.543408155441284,1.1170054771379203,0.16491921246051788
Adversarial Training,adv_train,4,not,22443,0.8465723395347595,0.6872741693141637,0.8044697642326355
Adversarial Training,adv_train,4,not,5939,2.800133466720581,1.5882188706240667,-0.08698603510856628
Adversarial Training,adv_train,4,not,17776,2.8197455406188965,2.1907505682757344,0.12870384752750397
Adversarial Training,adv_train,4,not,27857,2.0032942295074463,1.4362570831283645,0.3231578469276428
Adversarial Training,adv_train,4,not,17911,1.8799351453781128,1.0848152048341437,0.3898763656616211
Adversarial Training,adv_train,4,not,55003,0.6784608364105225,0.604046833405368,0.8701283931732178
Adversarial Training,adv_train,4,not,45038,1.7151938676834106,1.0166097457792262,0.37773704528808594
Adversarial Training,adv_train,4,not,51064,5.905328273773193,1.6456624380877531,-0.6200087666511536
Adversarial Training,adv_train,4,not,12244,2.369718551635742,1.1201106701130819,0.22779253125190735
Adversarial Training,adv_train,5,or,34366,1.1439908742904663,0.7585197051987049,0.8434156179428101
Adversarial Training,adv_train,5,or,31133,3.6625888347625732,0.8090493685167216,0.7801487445831299
Adversarial Training,adv_train,5,or,34342,1.1591025590896606,0.5628603358747644,0.8854624032974243
Adversarial Training,adv_train,5,or,43453,0.34735074639320374,0.22772726295693843,0.9901262521743774
Adversarial Training,adv_train,5,or,40091,1.96149742603302,1.0307493288406195,0.45154261589050293
